title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
Good 4 U,Olivia Rodrigo,,1,0,1,1,True,2021-05-29
my.life,"J. Cole, 21 Savage & Morray",,2,0,1,2,True,2021-05-29
Levitating,Dua Lipa,,2,2,33,3,False,2021-05-29
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,1,1,11,4,False,2021-05-29
amari,J. Cole,,5,0,1,5,True,2021-05-29
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,3,9,6,False,2021-05-29
pride.is.the.devil,J. Cole & Lil Baby,,7,0,1,7,True,2021-05-29
95.south,J. Cole,,8,0,1,8,True,2021-05-29
Save Your Tears,The Weeknd & Ariana Grande,,1,4,23,9,False,2021-05-29
Kiss Me More,Doja Cat Featuring SZA,,5,5,6,10,False,2021-05-29
Astronaut In The Ocean,Masked Wolf,,6,6,14,11,False,2021-05-29
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",,12,0,1,12,True,2021-05-29
applying.pressure,J. Cole,,13,0,1,13,True,2021-05-29
100.mil',J. Cole & Bas,,14,0,1,14,True,2021-05-29
Rapstar,Polo G,,1,7,6,15,False,2021-05-29
Without You,The Kid LAROI,,8,9,24,16,False,2021-05-29
interlude,J. Cole,,8,8,2,17,False,2021-05-29
Montero (Call Me By Your Name),Lil Nas X,,1,10,8,18,False,2021-05-29
let.go.my.hand,"J. Cole, Bas & 6LACK",,19,0,1,19,True,2021-05-29
punchin'.the.clock,J. Cole,,20,0,1,20,True,2021-05-29
Deja Vu,Olivia Rodrigo,,8,17,7,21,False,2021-05-29
Forever After All,Luke Combs,,2,22,30,22,False,2021-05-29
Blinding Lights,The Weeknd,,1,12,76,23,False,2021-05-29
Drivers License,Olivia Rodrigo,,1,16,19,24,False,2021-05-29
the.climb.back,J. Cole,,25,0,3,25,False,2021-05-29
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,,18,18,11,26,False,2021-05-29
Up,Cardi B,,1,14,15,27,False,2021-05-29
hunger.on.hillside,J. Cole & Bas,,28,0,1,28,True,2021-05-29
Calling My Phone,Lil Tjay Featuring 6LACK,,3,13,14,29,False,2021-05-29
Best Friend,Saweetie Featuring Doja Cat,,14,19,19,30,False,2021-05-29
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,,12,15,18,31,False,2021-05-29
Heartbreak Anniversary,Giveon,,17,23,14,32,False,2021-05-29
close,J. Cole,,33,0,1,33,True,2021-05-29
My Ex's Best Friend,Machine Gun Kelly X blackbear,,20,20,40,34,False,2021-05-29
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,,20,21,3,35,False,2021-05-29
Hell Of A View,Eric Church,,28,30,19,36,False,2021-05-29
Mood,24kGoldn Featuring iann dior,,1,24,41,37,False,2021-05-29
Straightenin,Migos,,38,0,1,38,True,2021-05-29
Wockesha,Moneybagg Yo,,39,42,4,39,False,2021-05-29
Back In Blood,Pooh Shiesty Featuring Lil Durk,,13,26,20,40,False,2021-05-29
The Good Ones,Gabby Barrett,,19,27,21,41,False,2021-05-29
Heat Waves,Glass Animals,,33,33,18,42,False,2021-05-29
Breaking Up Was Easy In The 90's,Sam Hunt,,32,32,12,43,False,2021-05-29
Track Star,Mooski,,31,34,13,44,False,2021-05-29
What You Know Bout Love,Pop Smoke,,9,28,37,45,False,2021-05-29
We're Good,Dua Lipa,,31,31,14,46,False,2021-05-29
On Me,Lil Baby,,15,25,24,47,False,2021-05-29
Telepatia,Kali Uchis,,39,40,13,48,False,2021-05-29
Wants And Needs,Drake Featuring Lil Baby,,2,38,11,49,False,2021-05-29
Miss The Rage,Trippie Redd & Playboi Carti,,11,11,2,50,False,2021-05-29
pov,Ariana Grande,,40,50,11,51,False,2021-05-29
Fractions,Nicki Minaj,,52,0,1,52,True,2021-05-29
Time Today,Moneybagg Yo,,31,41,15,53,False,2021-05-29
Your Power,Billie Eilish,,10,29,3,54,False,2021-05-29
Famous Friends,Chris Young + Kane Brown,,55,61,8,55,False,2021-05-29
Made For You,Jake Owen,,32,35,13,56,False,2021-05-29
Settling Down,Miranda Lambert,,49,49,10,57,False,2021-05-29
Build A Bitch,Bella Poarch,,58,0,1,58,True,2021-05-29
Nobody,Dylan Scott,,55,55,12,59,False,2021-05-29
No More Parties,Coi Leray Featuring Lil Durk,,26,48,15,60,False,2021-05-29
Almost Maybes,Jordan Davis,,61,64,17,61,False,2021-05-29
Gone,Dierks Bentley,,59,59,10,62,False,2021-05-29
Ski,Young Thug & Gunna,,18,51,5,63,False,2021-05-29
Lil Bit,Nelly & Florida Georgia Line,,60,60,9,64,False,2021-05-29
Goosebumps,Travis Scott & HVME,,47,47,18,65,False,2021-05-29
What's Next,Drake,,1,52,11,66,False,2021-05-29
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",,67,0,1,67,True,2021-05-29
Streets,Doja Cat,,16,58,19,68,False,2021-05-29
One Too Many,Keith Urban Duet With P!nk,,62,69,23,69,False,2021-05-29
Quicksand,Morray,,65,66,15,70,False,2021-05-29
Glad You Exist,Dan + Shay,,63,65,15,71,False,2021-05-29
Tombstone,Rod Wave,,11,63,9,72,False,2021-05-29
Blame It On You,Jason Aldean,,71,71,4,73,False,2021-05-29
Hold On,Justin Bieber,,20,67,11,74,False,2021-05-29
Follow You,Imagine Dragons,,68,68,7,75,False,2021-05-29
Solid,Young Thug & Gunna Featuring Drake,,12,57,5,76,False,2021-05-29
